CourseID,CourseName,Unit,ReviewNumber,AvgStar,Level,Results
IBM Data Analyst Professional Certificate,IBM Data Analyst Professional Certificate,IBM,17406,4.7,Beginner level,"Master the most up-to-date practical skills and tools that data analysts use in their daily roles
Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau
Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services 
Gain technical experience through hands on labs and projects and build a portfolio to showcase your work
"
Generative AI: Elevate Your Data Science Career,Generative AI: Elevate Your Data Science Career,IBM,20,4.8,Intermediate level," Leverage generative AI tools, like GPT 3.5, ChatCSV, and tomat.ai, available to Data Scientists for querying and preparing data  
Examine real-world scenarios where generative AI can enhance data science workflows
Practice generative AI skills in hand-on labs and projects by generating and augmenting datasets for specific use cases
Apply generative AI techniques in the development and refinement of machine learning models
"
Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Codio,22,3.6,Beginner level,"Be familiar with data science libraries in Python and R. 
Data transformation and normalization in Python and R.
Create graph and charts using Python and R.
"
Python Data Products for Predictive Analytics Specialization,Python Data Products for Predictive Analytics Specialization,University of California San Diego,166,4.1,Intermediate level,"Discover how to transform data and make it suitable for data-driven predictive tasks 
Understand how to compute basic statistics using real-world datasets of consumer activities, like product reviews and more
Use Python to create interactive data visualizations to make meaningful predictions and build simple demo systems
Perform simple regressions and classifications on datasets using machine learning libraries 
"
Data-driven Decision Making,Data-driven Decision Making,PwC,6026,4.6,Beginner level,
"GIS, Mapping, and Spatial Analysis Specialization","GIS, Mapping, and Spatial Analysis Specialization",University of Toronto,2314,4.9,Beginner level,
The Data Scientist’s Toolbox,The Data Scientist’s Toolbox,Johns Hopkins University,33837,4.6,,"Set up R, R-Studio, Github and other useful tools
Understand the data, problems, and tools that data analysts use
Explain essential study design concepts
Create a Github repository
"
Statistical Modeling for Data Science Applications Specialization,Statistical Modeling for Data Science Applications Specialization,University of Colorado Boulder,29,4.2,Intermediate level,"Correctly analyze and apply tools of regression analysis to model relationship between variables and make predictions given a set of input variables.
Successfully conduct experiments based on best practices in experimental design.
Use advanced statistical modeling techniques, such as generalized linear and additive models, to model wide range of real-world relationships.
"
Use Tableau for Your Data Science Workflow Specialization,Use Tableau for Your Data Science Workflow Specialization,"University of California, Irvine",17,4.0,Beginner level,"Explain fundamental concepts behind visualizations.
Setup and perform data analysis using industry-standard models.
Create a Tableau dashboard implementing major tasks of analytics deployment: define business goals, prepare data, select, model, and present results.
"
DeepLearning.AI TensorFlow Developer Professional Certificate,DeepLearning.AI TensorFlow Developer Professional Certificate,DeepLearning.AI,21173,4.7,Intermediate level,"Best practices for TensorFlow, a popular open-source machine learning framework to train a neural network for a computer vision applications.
Handle real-world image data and explore strategies to prevent overfitting, including augmentation and dropout.
Build natural language processing systems using TensorFlow.
Apply RNNs, GRUs, and LSTMs as you train them using text repositories.
"
Applied Machine Learning in Python,Applied Machine Learning in Python,University of Michigan,8464,4.6,Intermediate level,"Describe how machine learning is different than descriptive statistics
Create and evaluate data clusters
Explain different approaches for creating predictive models
Build features that meet analysis needs
"
Databases and SQL for Data Science with Python,Databases and SQL for Data Science with Python,IBM,19323,4.6,Beginner level,"Analyze data within a database using SQL and Python.
Create a relational database and work with multiple tables using DDL commands. 
Construct basic to intermediate level SQL queries using DML commands. 
Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. 
"
Deep Neural Networks with PyTorch,Deep Neural Networks with PyTorch,IBM,1577,4.4,Intermediate level,"Demonstrate your comprehension of deep learning algorithims and implement them using Pytorch. 
Explain and apply knowledge of Deep Neural Networks and related machine learning methods.
Describe how to use Python libraries such as PyTorch for Deep Learning applications.
Build Deep Neural Networks using PyTorch.
"
Data Analysis Using Pyspark,Data Analysis Using Pyspark,Coursera Project Network,282,4.5,Intermediate level,"Learn how to setup the google colab for distributed data processing 
Learn applying different queries to your dataset to extract useful Information
Learn how to visualize this information using matplotlib
"
Understanding and Visualizing Data with Python,Understanding and Visualizing Data with Python,University of Michigan,2593,4.7,Beginner level,"Properly identify various data types and understand the different uses for each  
Create data visualizations and numerical summaries with Python
Communicate statistical ideas clearly and concisely to a broad audience
Identify appropriate analytic techniques for probability and non-probability samples
"
HR Analytics- Build an HR dashboard using Power BI,HR Analytics- Build an HR dashboard using Power BI,Coursera Project Network,238,4.6,Beginner level,"Build an attractive and eye-catching HR dashboard
Visualize gender & racial diversity using graphs & charts in Power BI
Explore buttons, themes, filters & slicers to make the dashboard interactive & smart
"
Machine Learning: Theory and Hands-on Practice with Python Specialization,Machine Learning: Theory and Hands-on Practice with Python Specialization,University of Colorado Boulder,44,3.7,Intermediate level,"Explore several classic Supervised and Unsupervised Learning algorithms and introductory Deep Learning topics.  
Build and evaluate Machine Learning models utilizing popular Python libraries and compare each algorithm’s strengths and weaknesses.
Explain which Machine Learning models would be best to apply to a Machine Learning task based on the data’s properties.
Improve model performance by tuning hyperparameters and applying various techniques such as sampling and regularization.
"
Julia for Beginners in Data Science,Julia for Beginners in Data Science,Coursera Project Network,48,4.4,Beginner level,"Learn how to clean data.
Learn how to do exploratory data analysis.
Learn about different types of joins.
"
Neuroscience and Neuroimaging Specialization,Neuroscience and Neuroimaging Specialization,Johns Hopkins University,910,4.7,Intermediate level,"Learn about fMRI data design, structure and acquisition.
Familiarize yourself with fMRI Artifacts and types of noise.
Learn how to read/write images of the brain in NIfTI format.
Learn about Magnetic Resonance Spectroscopy.
"
Linear Algebra from Elementary to Advanced Specialization,Linear Algebra from Elementary to Advanced Specialization,Johns Hopkins University,39,4.8,Beginner level,
Data Science as a Field,Data Science as a Field,University of Colorado Boulder,29,4.3,Intermediate level,"By taking this course, you will be able explain what data science is and identify the key disciplines involved.
You will be able to use the steps of the data science process to create a reproducible data analysis and identify personal biases.
You will be able to identify interesting data science applications, locate jobs in Data Science, and begin developing a professional network.
"
NLP: Twitter Sentiment Analysis,NLP: Twitter Sentiment Analysis,Coursera Project Network,354,4.6,Beginner level,"Create a pipeline to remove stop-words, punctuation, and perform tokenization    
Understand the theory and intuition behind Naive Bayes classifiers   
Train a Naive Bayes Classifier and assess its performance   
"
Supervised Machine Learning: Regression and Classification,Supervised Machine Learning: Regression and Classification,DeepLearning.AI,18504,4.9,Beginner level,"Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn
Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression
"
MLOps | Machine Learning Operations Specialization,MLOps | Machine Learning Operations Specialization,Duke University,120,3.9,Advanced level,"Master Python fundamentals, MLOps principles, and data management to build and deploy ML models in production environments.
Utilize Amazon Sagemaker / AWS, Azure, MLflow, and Hugging Face for end-to-end ML solutions, pipeline creation, and API development.
Fine-tune and deploy Large Language Models (LLMs) and containerized models using the ONNX format with Hugging Face.
Design a full MLOps pipeline with MLflow, managing projects, models, and tracking system features.
"
Data Visualization and Communication with Tableau,Data Visualization and Communication with Tableau,Duke University,3188,4.7,,
Data Ecosystem,Data Ecosystem,Tableau Learning Partner,46,4.7,Beginner level," Describe the purpose and applications of tabular data, databases, data warehouses, data lakes, and ETLs. 
 Describe the importance of data quality and data governance in relation to data management. 
 Identify the principles that form the foundation of modern data architecture. 
"
R Programming,R Programming,Johns Hopkins University,22181,4.5,Intermediate level,"Understand critical programming language concepts
Configure statistical programming software
Make use of R loop functions and debugging tools
Collect detailed information using R profiler
"
Advanced Machine Learning on Google Cloud Specialization,Advanced Machine Learning on Google Cloud Specialization,Google Cloud,1925,4.5,Advanced level,
Machine Learning on Google Cloud Specialization,Machine Learning on Google Cloud Specialization,Google Cloud,8457,4.6,Intermediate level,"Use Vertex AI AutoML and BigQuery ML to build, train, and deploy ML models
Implement machine learning models using Keras and TensorFlow 2.x
Implement machine learning in the enterprise best practices
Describe how to perform exploratory data analysis and improve data quality
"
SQL: A Practical Introduction for Querying Databases,SQL: A Practical Introduction for Querying Databases,IBM,252,4.6,Beginner level,"Analyze data within a database using SQL.
Create a relational database on Cloud and work with tables.
Write SQL statements including SELECT, INSERT, UPDATE, and DELETE.
Build more powerful queries with advanced SQL techniques like views, transactions, stored procedures and joins. 
"
Google Advanced Data Analytics Professional Certificate,Google Advanced Data Analytics Professional Certificate,Google,2523,4.8,Advanced level,"Explore the roles of data professionals within an organization 
Create data visualizations and apply statistical methods to investigate data
Build regression and machine learning models to analyze and interpret data
Communicate insights from data analysis to stakeholders
"
Get Started with Python,Get Started with Python,Google,926,4.8,Advanced level,"Explain how Python is used by data professionals 
Explore basic Python building blocks, including syntax and semantics
Understand loops, control statements, and string manipulation
Use data structures to store and organize data 
"
Probabilistic Graphical Models Specialization,Probabilistic Graphical Models Specialization,Stanford University,1269,4.6,Advanced level,
Health Data Science Foundation,Health Data Science Foundation,University of Illinois at Urbana-Champaign,0,0,Advanced level,"Machine Learning, Health Data Processing
"
Essential Causal Inference Techniques for Data Science,Essential Causal Inference Techniques for Data Science,Coursera Project Network,34,4.5,Beginner level,"Learn the limitations of AB testing and why causal inference techniques can be powerful.
Understand the intuition behind and how to implement the four main causal inference techniques in R.
Explore newer methods at the intersection of causal inference and machine learning and implement them in R.
"
Regression Analysis: Simplify Complex Data Relationships,Regression Analysis: Simplify Complex Data Relationships,Google,293,4.7,Advanced level,"Investigate relationships in datasets
Identify regression model assumptions 
Perform linear and logistic regression using Python
Practice model evaluation and interpretation
"
Statistical Inference for Estimation in Data Science,Statistical Inference for Estimation in Data Science,University of Colorado Boulder,61,4.1,Intermediate level,"Identify characteristics of “good” estimators and be able to compare competing estimators.
Construct sound estimators using the techniques of maximum likelihood and method of moments estimation.
Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance.
"
"Sequences, Time Series and Prediction","Sequences, Time Series and Prediction",DeepLearning.AI,4968,4.7,Intermediate level,"Solve time series and forecasting problems in TensorFlow
Prepare data for time series learning using best practices
Explore how RNNs and ConvNets can be used for predictions
Build a sunspot prediction model using real-world data
"
SAS Visual Business Analytics Professional Certificate,SAS Visual Business Analytics Professional Certificate,SAS,940,4.7,Beginner level,"How to explore data using SAS Visual Analytics
How to create interactive reports using SAS Visual Analytics
How to prepare data using SAS Data Studio
"
Python Project for Data Science,Python Project for Data Science,IBM,3960,4.5,Intermediate level,"Play the role of a Data Scientist / Data Analyst working on a real project.
Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis. 
Apply Python fundamentals, Python data structures, and working with data in Python.
Build a dashboard using Python and libraries like Pandas, Beautiful Soup and Plotly using Jupyter notebook.
"
Foundations of Business Intelligence,Foundations of Business Intelligence,Google,952,4.7,Advanced level,"Understand common careers and industries that use BI
Investigate the impact data can have on business decision-making
Explain the important role that BI professionals have in businesses
Develop a BI project plan 
"
"DevOps, DataOps, MLOps","DevOps, DataOps, MLOps",Duke University,49,3.8,Advanced level,"Build operations pipelines using DevOps, DataOps, and MLOps
Explain the principles and practices of MLOps (i.e., data management, model training and development, continuous integration and delivery, etc.)
Build and deploy machine learning models in a production environment using MLOps tools and platforms.
"
"Decisions, Decisions: Dashboards and Reports","Decisions, Decisions: Dashboards and Reports",Google,550,4.8,Advanced level,"Design BI visualizations
Practice using BI reporting and dashboard tools
Create presentations to share key BI insights with stakeholders
Develop professional materials for your job search
"
Deep Learning for Healthcare Specialization,Deep Learning for Healthcare Specialization,University of Illinois at Urbana-Champaign,34,3.0,Advanced level,
Bioconductor for Genomic Data Science,Bioconductor for Genomic Data Science,Johns Hopkins University,359,3.8,,
The Nuts and Bolts of Machine Learning,The Nuts and Bolts of Machine Learning,Google,273,4.8,Advanced level,"Identify characteristics of the different types of machine learning 
Prepare data for machine learning models 
Build and evaluate supervised and unsupervised learning models using Python
Demonstrate proper model and metric selection for a machine learning algorithm
"
TensorFlow 2 for Deep Learning Specialization,TensorFlow 2 for Deep Learning Specialization,Imperial College London,560,4.8,Intermediate level,
Advanced Clinical Data Science,Advanced Clinical Data Science,University of Colorado System,21,4.8,Intermediate level,
Advanced Data Science with IBM Specialization,Advanced Data Science with IBM Specialization,IBM,2391,4.4,Advanced level,
Exploratory Data Analysis for Machine Learning,Exploratory Data Analysis for Machine Learning,IBM,1629,4.6,Intermediate level,
Python Packages for Data Science,Python Packages for Data Science,University of Colorado Boulder,32,4.4,Intermediate level,"By successfully completing this course, you will be able to use Python pacakges developed for data science.
You will learn how to use Numpy and Pandas to manipulate data.
You will learn how to use Matplotlib and Seaborn to develop data visualizations.
"
Data Visualization with Advanced Excel,Data Visualization with Advanced Excel,PwC,2925,4.8,Beginner level,
Natural Language Processing with Probabilistic Models,Natural Language Processing with Probabilistic Models,DeepLearning.AI,1657,4.7,Intermediate level,"Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.
"
Generative AI Fundamentals Specialization,Generative AI Fundamentals Specialization,IBM,245,4.7,Beginner level,"Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.
Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.
Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.
Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace.
"
Reinforcement Learning Specialization,Reinforcement Learning Specialization,University of Alberta,3166,4.8,Intermediate level,"Build a Reinforcement Learning system for sequential decision making.
Understand the space of RL algorithms (Temporal- Difference learning, Monte Carlo, Sarsa, Q-learning, Policy Gradients, Dyna, and more).
Understand how to formalize your task as a Reinforcement Learning problem, and how to begin implementing a solution.  
Understand how RL fits under the broader umbrella of machine learning, and how it complements deep learning, supervised and unsupervised learning 
"
AutoML tools for data science,AutoML tools for data science,Coursera Project Network,0,0,Beginner level,"Learn how to use different AutoML tools for efficient exploratory data analysis.
"
Statistical Inference and Hypothesis Testing in Data Science Applications,Statistical Inference and Hypothesis Testing in Data Science Applications,University of Colorado Boulder,37,4.7,Intermediate level,"Define a composite hypothesis and the level of significance for a test with a composite null hypothesis.
Define a test statistic, level of significance, and the rejection region for a hypothesis test. Give the form of a rejection region.
Perform tests concerning a true population variance.
Compute the sampling distributions for the sample mean and sample minimum of the exponential distribution.
"
Machine Learning and Reinforcement Learning in Finance Specialization,Machine Learning and Reinforcement Learning in Finance Specialization,New York University,741,3.7,Intermediate level,"Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  
Describe linear regression and classification models and methods of their evaluation  
Explain how Reinforcement Learning is used for stock trading  
Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  
"
Fundamentals of Machine Learning for Healthcare,Fundamentals of Machine Learning for Healthcare,Stanford University,408,4.8,Beginner level,"Define important relationships between the fields of machine learning, biostatistics, and traditional computer programming.
Learn about advanced neural network architectures for tasks ranging from text classification to object detection and segmentation.
Learn important approaches for leveraging data to train, validate, and test machine learning models.
Understand how dynamic medical practice and discontinuous timelines impact clinical machine learning application development and deployment.
"
SQL for Data Science,SQL for Data Science,"University of California, Davis",16036,4.6,Beginner level,"Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.
Use SQL commands to filter, sort, and summarize data.
Create an analysis table from multiple queries using the UNION operator.
Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis.
"
Generative AI: Foundation Models and Platforms,Generative AI: Foundation Models and Platforms,IBM,62,4.8,Beginner level,"Describe the fundamental concepts of generative AI and its core models
Explain the concept of foundation models in generative AI
Explore the capabilities of pre-trained models for AI-powered applications. 
Explore the features, capabilities, and applications of different generative AI platforms, such as IBM watsonx and Hugging Face
"
Harnessing the Power of Data with Power BI,Harnessing the Power of Data with Power BI,Microsoft,541,4.5,Beginner level,"How to recognize and use the key data analysis components of Microsoft Power BI.
Understand a Power BI data analyst's skills, tasks, and tools. 
Describe the different stages in the data analysis process that result in data-driven decisions. 
"
Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,Microsoft,451,4.6,Beginner level,"You will learn about the types of solutions AI makes possible, and the services on Microsoft Azure that you can use to create them.
"
SQL for Beginners: Querying Data,SQL for Beginners: Querying Data,Coursera Project Network,38,4.5,Intermediate level,"Use SELECT Statements to select columns of datasets  
Apply conditions to a SQL query using the WHERE clause  
Group a dataset by one or more columns.with the GROUP BY clause
"
Introduction to Widgets for Data Science,Introduction to Widgets for Data Science,Coursera Project Network,0,0,Beginner level,"Learn basic widgets, combining them and using them in dashboards for analysis
"
Build Dashboards in Power BI,Build Dashboards in Power BI,Coursera Project Network,157,4.3,Intermediate level,"Build a Dashboard in Power BI by building a report and visuals.
Build a report with visuals.
Create a dashboard and pin visuals.
"
Introduction to R Programming for Data Science,Introduction to R Programming for Data Science,IBM,422,4.5,Beginner level,"Manipulate primitive data types in the R programming language using RStudio or Jupyter Notebooks.
Control program flow with conditions and loops, write functions, perform character string operations, write regular expressions, handle errors. 
Construct and manipulate R data structures, including vectors, factors, lists, and data frames.
Read, write, and save data files and scrape web pages using R. 
"
Probability Theory: Foundation for Data Science,Probability Theory: Foundation for Data Science,University of Colorado Boulder,152,4.5,Intermediate level,"Explain why probability is important to statistics and data science.
See the relationship between conditional and independent events in a statistical experiment.
Calculate the expectation and variance of several random variables and develop some intuition.
"
Genomic Data Science Specialization,Genomic Data Science Specialization,Johns Hopkins University,5444,4.4,Intermediate level,"Next generation sequencing experiments
Genomic technologies
DNA, RNA and epigenetic patterns
Genome analysis
"
Python for Genomic Data Science,Python for Genomic Data Science,Johns Hopkins University,1683,4.3,,
Practical Data Science with MATLAB Specialization,Practical Data Science with MATLAB Specialization,MathWorks,891,4.8,Beginner level,"Analyze large datasets & calculate statistics on specific groups in the data
Use interactive tools to investigate your data & remove noise and outliers
Create & evaluate machine learning models
Create reports & interactive documents to share your work
"
Fundamentals of Scalable Data Science,Fundamentals of Scalable Data Science,IBM,2051,4.3,Beginner level,
Statistics for Genomic Data Science,Statistics for Genomic Data Science,Johns Hopkins University,353,4.2,,
Command Line Tools for Genomic Data Science,Command Line Tools for Genomic Data Science,Johns Hopkins University,541,4.0,,
SQL for Data Science Capstone Project,SQL for Data Science Capstone Project,"University of California, Davis",219,4.2,Intermediate level,"Develop a project proposal and select your data
Perform descriptive statistics as part of your exploratory analysis
Develop metrics and perform advanced techniques in SQL
Present your findings and make recommendations
"
Data Science Fundamentals for Data Analysts,Data Science Fundamentals for Data Analysts,Databricks,53,4.2,Intermediate level,"Apply foundational data science concepts and techniques to solve these real-world problems. 
Design, execute, assess, and communicate the results of your very own data science projects.
"
Data Analysis with Python,Data Analysis with Python,IBM,17755,4.7,Beginner level,"Develop Python code for cleaning and preparing data for analysis - including handling missing values, formatting, normalizing, and binning data
Perform exploratory data analysis and apply analytical techniques to real-word datasets using libraries such as Pandas, Numpy and Scipy
Manipulate data using dataframes, summarize data, understand data distribution, perform correlation and create data pipelines
Build and evaluate regression models using machine learning scikit-learn library and use them for prediction and decision making
"
Snowflake for Data Science: Intro to Snowpark ML for Python,Snowflake for Data Science: Intro to Snowpark ML for Python,Coursera Project Network,0,0,Intermediate level," Load data into Snowflake and setup Python workspace.
 Transform data using Snowpark ML API and build a preprocessing pipeline.
 Train an XGBoost model using the Snowpark ML Model API and deploy the model as a UDF for inference.
"
Pandas Python Library for Beginners in Data Science,Pandas Python Library for Beginners in Data Science,Coursera Project Network,317,4.4,Beginner level,"Learn how to clean data using pandas.
Learn how to do basic data preprocessing.
Learn how to handle quantitative data (numeric data) and qualitative data (text data) with pandas.
"
Introduction to Clinical Data Science,Introduction to Clinical Data Science,University of Colorado System,392,4.5,Intermediate level,"Describe how each type of clinical data are generated, specifically outlining who creates the data, when and why the data are generated.
Write SQL code to combine two or more tables using database joins.
Write R code to manipulate and tidy data including: selecting columns, filtering rows, and joining data sets. 
Write markdown formatted text and combine with R code in RMarkdown documents.
"
Introduction to Data Science and scikit-learn in Python,Introduction to Data Science and scikit-learn in Python,LearnQuest,40,3.8,Beginner level,"Employ artificial intelligence techniques to test hypothesis in Python
Apply a machine learning model combining Numpy, Pandas, and Scikit-Learn
"
Advanced Linear Models for Data Science 1: Least Squares,Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,184,4.5,Advanced level,
Advanced Linear Models for Data Science 2: Statistical Linear Models,Advanced Linear Models for Data Science 2: Statistical Linear Models,Johns Hopkins University,93,4.5,Advanced level,
"Intro to Analytic Thinking, Data Science, and Data Mining","Intro to Analytic Thinking, Data Science, and Data Mining","University of California, Irvine",128,4.2,Intermediate level,"The knowledge and skills needed to work in the data science profession
How data science is used to solve business problems
The benefits of using the cross-industry standard process for data mining (CRISP-DM)
"
Data Science Capstone,Data Science Capstone,Johns Hopkins University,1224,4.5,,"Create a useful data product for the public
Apply your exploratory data analysis skills
Build an efficient and accurate prediction model
Produce a presentation deck to showcase your findings
"
Data Science Project: MATLAB for the Real World,Data Science Project: MATLAB for the Real World,MathWorks,24,4.8,Intermediate level,"Apply a full data science workflow, including importing & cleaning data, creating features, training machine learning models, & evaluating results
Effectively communicate results by identifying your target audience & creating meaningful visualizations
Create a final report that includes text, code, & visualizations to share with colleagues
"
Ethical Issues in Data Science,Ethical Issues in Data Science,University of Colorado Boulder,30,4.6,Beginner level,"Learners will be able to Identify and manage ethical situations that may arise in their careers.
Learnerrs will be able to apply ethical frameworks to help them analyze ethical challenges.
Learners will be familiar with key applications of data science that are commonly  linked to ethical issues.
"
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,35369,4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. 
"
Data Science Methodology,Data Science Methodology,IBM,19946,4.6,Beginner level,"Describe what a data science methodology is and why data scientists need a methodology.
Apply the six stages in the Cross-Industry Process for Data Mining (CRISP-DM) methodology to analyze a case study.
Evaluate which analytic model is appropriate among predictive, descriptive, and classification models used to analyze a case study.
Determine appropriate data sources for your data science analysis methodology.
"
Address Business Issues with Data Science,Address Business Issues with Data Science,CertNexus,21,4.4,Intermediate level,
Finalize a Data Science Project,Finalize a Data Science Project,CertNexus,0,0,Intermediate level,"Communicate results of a model via web apps, and implement an d test pipelines that automate the model training, tuning and deployment process.   
"
Power BI for Data Science and Analytics,Power BI for Data Science and Analytics,Edureka,0,0,Intermediate level,"Analyzing Data by using the AI analytical features offered by Power BI
"
Communicating Data Science Results,Communicating Data Science Results,University of Washington,142,3.4,,
Data Science at Scale - Capstone Project,Data Science at Scale - Capstone Project,University of Washington,25,3.8,,
Data Science for Marketing Specialization,Data Science for Marketing Specialization,University of Colorado System,0,0,Intermediate level,"Apply data science techniques to optimize marketing strategies and increase customer engagement. 
"
Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs Specialization,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs Specialization,Google Cloud,93,4.2,Intermediate level,
Data Science Fundamentals with Python and SQL Specialization,Data Science Fundamentals with Python and SQL Specialization,IBM,2650,4.6,Beginner level,"Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio
Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy
Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression
Relational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables
"
IBM & Darden Digital Strategy Specialization,IBM & Darden Digital Strategy Specialization,University of Virginia Darden School Foundation,340,4.8,Beginner level,"Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. 
"
IBM AI Foundations for Business Specialization,IBM AI Foundations for Business Specialization,IBM,1279,4.7,Beginner level,
Data Analysis and Visualization Foundations Specialization,Data Analysis and Visualization Foundations Specialization,IBM,2478,4.8,Beginner level,"Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysis
Explain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data mining
List various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards
"
AI Foundations for Everyone Specialization,AI Foundations for Everyone Specialization,IBM,2557,4.7,Beginner level,
Prompt Engineering Specialization,Prompt Engineering Specialization,Vanderbilt University,923,4.9,Beginner level,
Generative AI for Data Analysts Specialization,Generative AI for Data Analysts Specialization,IBM,29,4.9,Intermediate level,"Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools.
Gain knowledge of generative AI prompt engineering concepts, examples, common tools and techniques needed to create effective, impactful prompts.
Identify appropriate generative AI tools for data analytics.
Examine real-world applications where generative AI can enhance data analytics workflows.
"
AI in Healthcare Specialization,AI in Healthcare Specialization,Stanford University,1422,4.7,Beginner level,"Identify problems healthcare providers face that machine learning can solve
Analyze how AI affects patient care safety, quality, and research
Relate AI to the science, practice, and business of medicine
Apply the building blocks of AI to help you innovate and understand emerging technologies  
"
